,date,tend,MAdif
2017-11-22 22:56:00+00:00,2017-11-22T22:56:00.000Z,long,-1.1339991737499888
2017-11-22 23:56:00+00:00,2017-11-22T23:56:00.000Z,long,-1.356149078630886
2017-11-23 00:56:00+00:00,2017-11-23T00:56:00.000Z,long,-1.3828557279191855
2017-11-23 01:56:00+00:00,2017-11-23T01:56:00.000Z,long,-1.46589772110568
2017-11-23 02:56:00+00:00,2017-11-23T02:56:00.000Z,long,-1.0254701282493173
2017-11-23 09:56:00+00:00,2017-11-23T09:56:00.000Z,long,-1.1203104338035175
2017-11-23 10:56:00+00:00,2017-11-23T10:56:00.000Z,long,-1.4399848201836152
2017-11-23 11:56:00+00:00,2017-11-23T11:56:00.000Z,long,-1.817886599276708
2017-11-23 12:56:00+00:00,2017-11-23T12:56:00.000Z,long,-1.8018648295523576
2017-11-23 13:56:00+00:00,2017-11-23T13:56:00.000Z,long,-2.1042702070461106
2017-11-23 14:56:00+00:00,2017-11-23T14:56:00.000Z,long,-1.948083086974517
2017-11-23 15:56:00+00:00,2017-11-23T15:56:00.000Z,long,-1.7483396951661456
2017-11-23 16:56:00+00:00,2017-11-23T16:56:00.000Z,long,-2.097867766543704
2017-11-23 17:56:00+00:00,2017-11-23T17:56:00.000Z,long,-2.494135902794037
2017-11-23 18:56:00+00:00,2017-11-23T18:56:00.000Z,long,-1.9875352502719545
2017-11-23 19:56:00+00:00,2017-11-23T19:56:00.000Z,long,-1.897847441190903
2017-11-23 20:56:00+00:00,2017-11-23T20:56:00.000Z,long,-1.7647329432030512
2017-11-23 21:56:00+00:00,2017-11-23T21:56:00.000Z,long,-1.0904884715024377
2017-11-24 01:56:00+00:00,2017-11-24T01:56:00.000Z,short,1.089648241454244
2017-11-24 02:56:00+00:00,2017-11-24T02:56:00.000Z,short,1.4644070192545766
2017-11-24 03:56:00+00:00,2017-11-24T03:56:00.000Z,short,1.105818184357532
2017-11-24 12:56:00+00:00,2017-11-24T12:56:00.000Z,long,-1.8050149274943639
2017-11-24 13:56:00+00:00,2017-11-24T13:56:00.000Z,long,-2.4581700696567177
2017-11-24 14:56:00+00:00,2017-11-24T14:56:00.000Z,long,-3.057196109714133
2017-11-24 15:56:00+00:00,2017-11-24T15:56:00.000Z,long,-3.7113445988164795
2017-11-24 16:56:00+00:00,2017-11-24T16:56:00.000Z,long,-3.7117754566435623
2017-11-24 17:56:00+00:00,2017-11-24T17:56:00.000Z,long,-3.028612736961933
2017-11-24 18:56:00+00:00,2017-11-24T18:56:00.000Z,long,-2.8202545741152107
2017-11-24 19:56:00+00:00,2017-11-24T19:56:00.000Z,long,-2.309834739386085
2017-11-24 20:56:00+00:00,2017-11-24T20:56:00.000Z,long,-1.5932249806741572
2017-11-24 21:56:00+00:00,2017-11-24T21:56:00.000Z,long,-1.0954509610971774
2017-11-24 22:56:00+00:00,2017-11-24T22:56:00.000Z,long,-1.308932190555101
2017-11-24 23:56:00+00:00,2017-11-24T23:56:00.000Z,long,-1.1627306517585367
2017-11-25 00:56:00+00:00,2017-11-25T00:56:00.000Z,long,-1.1456555650781297
2017-11-25 01:56:00+00:00,2017-11-25T01:56:00.000Z,long,-1.249924070813213
2017-11-25 02:56:00+00:00,2017-11-25T02:56:00.000Z,long,-1.1824464203526786
2017-11-26 02:56:00+00:00,2017-11-26T02:56:00.000Z,short,1.0546449960010085
2017-11-26 03:56:00+00:00,2017-11-26T03:56:00.000Z,short,1.210896857196897
2017-11-26 23:56:00+00:00,2017-11-26T23:56:00.000Z,long,-1.2308322662548221
2017-11-27 00:56:00+00:00,2017-11-27T00:56:00.000Z,long,-1.6535645586501557
2017-11-27 01:56:00+00:00,2017-11-27T01:56:00.000Z,long,-1.6103593637278868
2017-11-27 02:56:00+00:00,2017-11-27T02:56:00.000Z,long,-1.5825904572125404
2017-11-27 03:56:00+00:00,2017-11-27T03:56:00.000Z,long,-1.3419493657007342
2017-11-27 04:56:00+00:00,2017-11-27T04:56:00.000Z,long,-1.1707136272569807
2017-11-27 05:56:00+00:00,2017-11-27T05:56:00.000Z,long,-1.0897815640151576
2017-11-27 06:56:00+00:00,2017-11-27T06:56:00.000Z,long,-1.3523363444970071
2017-11-27 07:56:00+00:00,2017-11-27T07:56:00.000Z,long,-1.5366017968793555
2017-11-27 08:56:00+00:00,2017-11-27T08:56:00.000Z,long,-1.0518339526853104
2017-11-27 12:56:00+00:00,2017-11-27T12:56:00.000Z,short,1.3299597708054445
2017-11-29 11:56:00+00:00,2017-11-29T11:56:00.000Z,long,-1.2644992298536106
2017-11-29 12:56:00+00:00,2017-11-29T12:56:00.000Z,long,-1.996829816313106
2017-11-29 13:56:00+00:00,2017-11-29T13:56:00.000Z,long,-2.749809393528513
2017-11-29 14:56:00+00:00,2017-11-29T14:56:00.000Z,long,-2.631803100798491
2017-11-29 15:56:00+00:00,2017-11-29T15:56:00.000Z,long,-2.4004109800144224
2017-11-29 16:56:00+00:00,2017-11-29T16:56:00.000Z,long,-1.3269377233367852
2017-11-29 18:56:00+00:00,2017-11-29T18:56:00.000Z,short,2.078707791352996
2017-11-29 19:56:00+00:00,2017-11-29T19:56:00.000Z,short,3.789709771052996
2017-11-29 22:56:00+00:00,2017-11-29T22:56:00.000Z,short,5.479311890112615
2017-11-30 02:56:00+00:00,2017-11-30T02:56:00.000Z,short,5.740170354364138
2017-11-30 10:56:00+00:00,2017-11-30T10:56:00.000Z,short,6.239495608416734
2017-11-30 20:56:00+00:00,2017-11-30T20:56:00.000Z,short,4.806682396631556
2017-12-01 02:56:00+00:00,2017-12-01T02:56:00.000Z,short,2.976429052745877
2017-12-01 07:56:00+00:00,2017-12-01T07:56:00.000Z,short,1.2116486084530975
2017-12-01 20:56:00+00:00,2017-12-01T20:56:00.000Z,long,-1.3132295337961564
2017-12-02 00:56:00+00:00,2017-12-02T00:56:00.000Z,long,-2.093788756562609
2017-12-02 07:56:00+00:00,2017-12-02T07:56:00.000Z,long,-2.499827272938604
2017-12-02 11:56:00+00:00,2017-12-02T11:56:00.000Z,long,-2.998472918562456
2017-12-02 17:56:00+00:00,2017-12-02T17:56:00.000Z,long,-3.403181433257063
2017-12-02 23:56:00+00:00,2017-12-02T23:56:00.000Z,long,-2.4349827706252603
2017-12-03 07:56:00+00:00,2017-12-03T07:56:00.000Z,long,-1.6105050063852877
2017-12-03 16:56:00+00:00,2017-12-03T16:56:00.000Z,long,-1.1678249359611703
2017-12-06 09:56:00+00:00,2017-12-06T09:56:00.000Z,short,1.3663853097579781
2017-12-06 11:56:00+00:00,2017-12-06T11:56:00.000Z,short,1.7095047286062037
2017-12-06 12:56:00+00:00,2017-12-06T12:56:00.000Z,short,1.6686441616530212
2017-12-06 21:56:00+00:00,2017-12-06T21:56:00.000Z,short,2.2722549067379028
2017-12-07 01:56:00+00:00,2017-12-07T01:56:00.000Z,short,2.4341264324525547
2017-12-07 02:56:00+00:00,2017-12-07T02:56:00.000Z,short,2.3738616820217384
2017-12-07 05:56:00+00:00,2017-12-07T05:56:00.000Z,short,2.5134508657945642
2017-12-07 09:56:00+00:00,2017-12-07T09:56:00.000Z,short,3.3719969921182757
2017-12-07 11:56:00+00:00,2017-12-07T11:56:00.000Z,short,2.4890472910125694
2017-12-07 14:56:00+00:00,2017-12-07T14:56:00.000Z,short,2.3823195811490283
2017-12-07 16:56:00+00:00,2017-12-07T16:56:00.000Z,short,2.301160442513217
2017-12-07 18:56:00+00:00,2017-12-07T18:56:00.000Z,short,1.790487907464
2017-11-30 03:56:00+00:00,2017-11-30T03:56:00.000Z,long,-1.3008721171012594
2017-11-30 08:56:00+00:00,2017-11-30T08:56:00.000Z,long,-1.6761774183563727
2017-12-08 12:56:00+00:00,2017-12-08T12:56:00.000Z,long,-2.5935926570793244
2017-11-30 14:56:00+00:00,2017-11-30T14:56:00.000Z,long,-2.0754047407221865
2017-12-08 17:56:00+00:00,2017-12-08T17:56:00.000Z,long,-3.1763024693142405
2017-12-08 20:56:00+00:00,2017-12-08T20:56:00.000Z,long,-2.169484786123732
2017-12-09 01:56:00+00:00,2017-12-09T01:56:00.000Z,long,-1.7935083744493818
2017-12-09 06:56:00+00:00,2017-12-09T06:56:00.000Z,long,-1.4450830768368395
2017-12-01 08:56:00+00:00,2017-12-01T08:56:00.000Z,long,-2.524164704016507
2017-12-09 23:56:00+00:00,2017-12-09T23:56:00.000Z,long,-1.54009986880701
2017-12-01 21:56:00+00:00,2017-12-01T21:56:00.000Z,long,-2.067797789566006
2017-12-10 21:56:00+00:00,2017-12-10T21:56:00.000Z,long,-1.0533711325045214
2017-12-12 04:56:00+00:00,2017-12-12T04:56:00.000Z,long,-1.99414032555143
2017-12-03 02:56:00+00:00,2017-12-03T02:56:00.000Z,long,-1.6270852287956439
2017-12-13 00:56:00+00:00,2017-12-13T00:56:00.000Z,long,-5.814847848489246
2017-12-13 10:56:00+00:00,2017-12-13T10:56:00.000Z,long,-9.367831528944848
2017-12-13 14:56:00+00:00,2017-12-13T14:56:00.000Z,long,-12.13095462354239
2017-12-03 23:56:00+00:00,2017-12-03T23:56:00.000Z,long,-9.50550040918845
2017-12-13 21:56:00+00:00,2017-12-13T21:56:00.000Z,long,-13.17844221545581
2017-12-14 06:56:00+00:00,2017-12-14T06:56:00.000Z,long,-11.27291477698047
