,tend
2017-11-22T22:56:00.000Z,long
2017-11-24T01:56:00.000Z,short
2017-11-24T12:56:00.000Z,long
2017-11-26T02:56:00.000Z,short
2017-11-26T23:56:00.000Z,long
2017-11-27T12:56:00.000Z,short
2017-11-29T11:56:00.000Z,long
2017-11-29T18:56:00.000Z,short
2017-11-30T03:56:00.000Z,long
2017-11-30T06:56:00.000Z,short
2017-11-30T14:56:00.000Z,long
2017-12-01T12:56:00.000Z,short
2017-12-01T20:56:00.000Z,long
2017-12-05T00:56:00.000Z,short
2017-12-05T19:56:00.000Z,long
2017-12-06T09:56:00.000Z,short
2017-12-08T12:56:00.000Z,long
2017-11-30T15:56:00.000Z,short
2017-12-12T04:56:00.000Z,long
2017-12-13T15:56:00.000Z,short
2017-12-14T10:56:00.000Z,long
2017-12-03T22:56:00.000Z,short
2017-12-14T22:56:00.000Z,long
2017-12-16T09:56:00.000Z,short
2017-12-18T00:56:00.000Z,long
2017-11-30T10:56:00.000Z,short
2017-12-20T09:56:00.000Z,long
2017-12-26T23:56:00.000Z,short
2017-12-15T03:56:00.000Z,long
2017-12-29T20:56:00.000Z,short
2017-12-17T21:56:00.000Z,long
2017-12-06T10:56:00.000Z,short
2018-01-03T00:56:00.000Z,long
2017-12-22T02:56:00.000Z,short
2018-01-05T22:56:00.000Z,long
2017-12-07T03:56:00.000Z,short
2018-01-13T19:56:00.000Z,long
2017-12-13T05:56:00.000Z,short
2017-12-13T14:56:00.000Z,long
2017-12-15T02:56:00.000Z,short
2018-01-29T07:56:00.000Z,long
2018-02-03T06:56:00.000Z,short
2017-12-14T06:56:00.000Z,long
2017-12-30T03:56:00.000Z,short
2018-01-05T04:56:00.000Z,long
2018-01-09T10:56:00.000Z,short
2018-01-17T15:56:00.000Z,long
2018-02-07T10:56:00.000Z,short
2017-12-16T01:56:00.000Z,long
